,Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
0,3,Harry Potter and the Sorcerer's Stone,J.K. Rowling,"Rowling, J.K.",,,,,4.48,,,309,2003,1997,"Apr 25, 2015","Aug 13, 2012",,,read,,,,1,,,,,,,,
1,9673436,The Invention of Hugo Cabret,Brian Selznick,"Selznick, Brian",,,9780439813765,,4.21,,,534,2007,2007,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
2,1838166,The Penderwicks on Gardam Street,Jeanne Birdsall,"Birdsall, Jeanne",,0375840907,9780375840906,,4.29,,,308,2008,2008,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
3,108980,Ivy and Bean,Annie Barrows,"Barrows, Annie",,0811849090,9780811849098,,3.95,,,120,2007,2006,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
4,2998,The Secret Garden,Frances Hodgson  Burnett,"Burnett, Frances Hodgson ",,0517189607,9780517189603,,4.14,,,331,1998,1910,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
5,39988,Matilda,Roald Dahl,"Dahl, Roald",,0141301066,9780141301068,,4.33,,,240,1998,1988,"Mar 02, 2015","Aug 13, 2012",,,read,,,,1,,,,,,,,
6,10431447,Wildwood,Colin Meloy,"Meloy, Colin",,006202468X,9780062024688,,3.67,,,541,2011,2011,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
7,6609748,The Mysterious Howling,Maryrose Wood,"Wood, Maryrose",,0061791059,9780061791055,,3.91,,,272,2010,2009,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
8,15779,Sideways Stories from Wayside School,Louis Sachar,"Sachar, Louis",,0747571775,9780747571773,,4.14,,,144,2004,1978,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
9,7150174,The Strange Case of Origami Yoda,Tom Angleberger,"Angleberger, Tom",,0810984253,9780810984257,,3.90,,,141,2010,2010,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
10,6609765,Out of My Mind,Sharon M. Draper,"Draper, Sharon M.",,141697170X,9781416971702,,4.37,,,295,2010,2010,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
11,7150178,Big Nate: In a Class by Himself,Lincoln Peirce,"Peirce, Lincoln",,0061944343,9780061944345,,4.22,,,224,2010,2010,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
12,10803806,Darth Paper Strikes Back,Tom Angleberger,"Angleberger, Tom",,1419700278,9781419700279,,4.12,,,163,2011,2011,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
13,7905977,The Adventures of Ook and Gluk: Kung Fu Cavemen from the Future,Dav Pilkey,"Pilkey, Dav",,0545175305,9780545175302,,4.23,,,176,2010,2010,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
14,476909,Queen of the World!,Jennifer L. Holm,"Holm, Jennifer L.",,0375832297,9780375832291,,3.89,,,96,2005,2005,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
15,6277757,Lunch Lady and the Cyborg Substitute,Jarrett J. Krosoczka,"Krosoczka, Jarrett J.",,0375846832,9780375846830,,4.02,,,96,2009,2009,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
16,6055161,Dragonbreath,Ursula Vernon,"Vernon, Ursula",,0803733631,9780803733633,,3.96,,,160,2009,2009,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
17,7092508,Zombiekins,Kevin Bolger,"Bolger, Kevin",,1595141774,9781595141774,,3.95,,,206,2010,2010,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
18,6655371,Babymouse Burns Rubber,Jennifer L. Holm,"Holm, Jennifer L.",,0375857133,9780375857133,,4.13,,,96,2010,2005,,"Aug 13, 2012",,,read,,,,1,,,,,,,,
